,NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,TOT_EMP_ME
80,115000,Support Activities for Agriculture and Forestry,15-0000,Computer and Mathematical Occupations,230.0,17.7,60900.0,2.1,54170.0,2011,1278.9,1602.84537,40.71,2506.6440000000002,3141.5769252,79.7916
227,211000,Oil and Gas Extraction,15-0000,Computer and Mathematical Occupations,4280.0,10.0,92650.0,3.8,85870.0,2011,3520.7,4412.49331,428.0,6900.571999999999,8648.4868876,838.88
390,212000,Mining (except Oil and Gas),15-0000,Computer and Mathematical Occupations,400.0,8.1,66480.0,2.3,64320.0,2011,1529.04,1916.3458320000002,32.4,2996.9184,3756.0378307200003,63.504
575,213000,Support Activities for Mining,15-0000,Computer and Mathematical Occupations,1420.0,13.4,83570.0,11.0,70550.0,2011,9192.7,11521.21091,190.28,18017.692000000003,22581.5733836,372.9488
783,221000,Utilities,15-0000,Computer and Mathematical Occupations,14530.0,3.3,81160.0,1.4,81110.0,2011,1136.24,1424.049592,479.49,2227.0304,2791.13720032,939.8004
1043,236000,Construction of Buildings,15-0000,Computer and Mathematical Occupations,3330.0,4.6,67050.0,1.7,64960.0,2011,1139.85,1428.5740050000002,153.17999999999998,2234.1059999999998,2800.0050498000005,300.23279999999994
1257,237000,Heavy and Civil Engineering Construction,15-0000,Computer and Mathematical Occupations,1940.0,10.9,66470.0,1.8,62320.0,2011,1196.46,1499.5233180000002,211.46,2345.0616,2939.0657032800004,414.46160000000003
1517,238000,Specialty Trade Contractors,15-0000,Computer and Mathematical Occupations,4660.0,9.3,66450.0,2.7,65880.0,2011,1794.15,2248.6081950000003,433.38,3516.534,4407.272062200001,849.4248
1820,311000,Food Manufacturing,15-0000,Computer and Mathematical Occupations,3140.0,5.4,70800.0,3.7,65460.0,2011,2619.6,3283.14468,169.56,5134.416,6434.963572799999,332.3376
2082,312000,Beverage and Tobacco Product Manufacturing,15-0000,Computer and Mathematical Occupations,860.0,12.5,69100.0,2.6,68300.0,2011,1796.6,2251.67878,107.5,3521.336,4413.2904088000005,210.7
2238,313000,Textile Mills,15-0000,Computer and Mathematical Occupations,490.0,7.8,58500.0,1.6,56190.0,2011,936.0,1173.0888,38.22,1834.56,2299.254048,74.9112
2353,314000,Textile Product Mills,15-0000,Computer and Mathematical Occupations,480.0,5.0,55650.0,2.1,52750.0,2011,1168.65,1464.669045,24.0,2290.554,2870.7513282,47.04
2477,315000,Apparel Manufacturing,15-0000,Computer and Mathematical Occupations,940.0,8.4,71270.0,2.5,70760.0,2011,1781.75,2233.067275,78.96,3492.23,4376.8118589999995,154.7616
2585,316000,Leather and Allied Product Manufacturing,15-0000,Computer and Mathematical Occupations,210.0,15.4,65790.0,3.3,65680.0,2011,2171.07,2721.0020310000004,32.34,4255.2972,5333.16398076,63.38640000000001
2683,321000,Wood Product Manufacturing,15-0000,Computer and Mathematical Occupations,580.0,7.2,58370.0,2.3,56120.0,2011,1342.51,1682.567783,41.76,2631.3196,3297.83285468,81.8496
2867,322000,Paper Manufacturing,15-0000,Computer and Mathematical Occupations,2570.0,4.2,68010.0,1.1,66450.0,2011,748.11,937.606263,107.94,1466.2956,1837.7082754799999,211.5624
3057,323000,Printing and Related Support Activities,15-0000,Computer and Mathematical Occupations,5940.0,3.4,65610.0,1.7,62220.0,2011,1115.37,1397.8932210000003,201.96,2186.1252,2739.8707131600004,395.8416
3223,324000,Petroleum and Coal Products Manufacturing,15-0000,Computer and Mathematical Occupations,2970.0,16.6,88700.0,5.1,85820.0,2011,4523.7,5669.55321,493.0200000000001,8866.452,11112.3242916,966.3192000000001
3395,325000,Chemical Manufacturing,15-0000,Computer and Mathematical Occupations,15960.0,7.6,80310.0,2.1,77750.0,2011,1686.51,2113.702983,1212.96,3305.5596,4142.85784668,2377.4016
3672,326000,Plastics and Rubber Products Manufacturing,15-0000,Computer and Mathematical Occupations,3690.0,3.4,64930.0,1.2,62800.0,2011,779.16,976.5212280000001,125.46,1527.1535999999999,1913.98160688,245.90159999999997
3883,327000,Nonmetallic Mineral Product Manufacturing,15-0000,Computer and Mathematical Occupations,1170.0,5.4,67820.0,2.5,65870.0,2011,1695.5,2124.97015,63.18,3323.18,4164.941494,123.83279999999999
4086,331000,Primary Metal Manufacturing,15-0000,Computer and Mathematical Occupations,2720.0,4.8,66550.0,1.1,65590.0,2011,732.05,917.4782650000001,130.56,1434.818,1798.2573994000002,255.8976
4297,332000,Fabricated Metal Product Manufacturing,15-0000,Computer and Mathematical Occupations,8880.0,2.4,67900.0,1.1,65490.0,2011,746.9,936.08977,213.12,1463.924,1834.7359492,417.7152
4574,333000,Machinery Manufacturing,15-0000,Computer and Mathematical Occupations,19190.0,3.6,74280.0,1.0,71910.0,2011,742.8,930.9512400000001,690.84,1455.888,1824.6644304000001,1354.0464
4844,334000,Computer and Electronic Product Manufacturing,15-0000,Computer and Mathematical Occupations,141650.0,4.7,94860.0,2.1,92510.0,2011,1992.06,2496.648798,6657.55,3904.4375999999997,4893.43164408,13048.798
5116,335000,"Electrical Equipment, Appliance, and Component Manufacturing",15-0000,Computer and Mathematical Occupations,6570.0,6.7,72910.0,1.5,71270.0,2011,1093.65,1370.6715450000002,440.19,2143.554,2686.5162282,862.7724
5327,336000,Transportation Equipment Manufacturing,15-0000,Computer and Mathematical Occupations,45910.0,6.2,92030.0,1.8,90300.0,2011,1656.54,2076.141582,2846.42,3246.8183999999997,4069.2375007200003,5578.9832
5621,337000,Furniture and Related Product Manufacturing,15-0000,Computer and Mathematical Occupations,2050.0,4.1,57790.0,1.8,54060.0,2011,1040.22,1303.707726,84.05,2038.8312,2555.26714296,164.738
5811,339000,Miscellaneous Manufacturing,15-0000,Computer and Mathematical Occupations,10170.0,4.6,70710.0,1.0,68870.0,2011,707.1,886.2084300000001,467.82,1385.916,1736.9685228000003,916.9272
6102,423000,"Merchant Wholesalers, Durable Goods",15-0000,Computer and Mathematical Occupations,125080.0,2.9,78750.0,1.1,74200.0,2011,866.25,1085.671125,3627.32,1697.85,2127.915405,7109.5472
6505,424000,"Merchant Wholesalers, Nondurable Goods",15-0000,Computer and Mathematical Occupations,18630.0,3.7,67130.0,0.9,63970.0,2011,604.17,757.206261,689.31,1184.1732,1484.1242715600001,1351.0475999999999
6849,425000,Wholesale Electronic Markets and Agents and Brokers,15-0000,Computer and Mathematical Occupations,27720.0,8.5,76670.0,1.3,73900.0,2011,996.71,1249.176643,2356.2,1953.5516,2448.38622028,4618.151999999999
7118,441000,Motor Vehicle and Parts Dealers,15-0000,Computer and Mathematical Occupations,1720.0,6.7,59560.0,4.4,54290.0,2011,2620.6400000000003,3284.4481120000005,115.24,5136.4544000000005,6437.518299520001,225.8704
7286,442000,Furniture and Home Furnishings Stores,15-0000,Computer and Mathematical Occupations,990.0,15.2,50940.0,5.3,45640.0,2011,2699.82,3383.6844060000003,150.48,5291.6472,6632.021435760001,294.94079999999997
7449,443000,Electronics and Appliance Stores,15-0000,Computer and Mathematical Occupations,23000.0,4.5,65850.0,1.5,59870.0,2011,987.75,1237.947075,1035.0,1935.99,2426.376267,2028.6
7587,444000,Building Material and Garden Equipment and Supplies Dealers,15-0000,Computer and Mathematical Occupations,1850.0,8.5,43250.0,2.9,37200.0,2011,1254.25,1571.951525,157.25,2458.33,3081.024989,308.21
7758,445000,Food and Beverage Stores,15-0000,Computer and Mathematical Occupations,870.0,7.6,45940.0,2.9,41750.0,2011,1332.26,1669.721458,66.12,2611.2296,3272.65405768,129.5952
7923,446000,Health and Personal Care Stores,15-0000,Computer and Mathematical Occupations,1240.0,14.6,60910.0,5.0,55910.0,2011,3045.5,3816.92515,181.04,5969.18,7481.173294,354.8384
8062,447000,Gasoline Stations,15-0000,Computer and Mathematical Occupations,290.0,17.9,50860.0,5.4,46860.0,2011,2746.44,3442.113252,51.91,5383.0224,6746.54197392,101.74359999999999
8172,448000,Clothing and Clothing Accessories Stores,15-0000,Computer and Mathematical Occupations,590.0,14.4,55930.0,4.1,46840.0,2011,2293.1299999999997,2873.979829,84.96,4494.534799999999,5633.00046484,166.52159999999998
8278,451000,"Sporting Goods, Hobby, Book, and Music Stores",15-0000,Computer and Mathematical Occupations,1070.0,12.9,50200.0,4.9,42830.0,2011,2459.8,3082.8673400000007,138.03,4821.2080000000005,6042.419986400001,270.5388
8427,452000,General Merchandise Stores,15-0000,Computer and Mathematical Occupations,470.0,14.0,55910.0,4.7,51610.0,2011,2627.77,3293.384141,65.8,5150.4292,6455.03291636,128.968
8579,453000,Miscellaneous Store Retailers,15-0000,Computer and Mathematical Occupations,3710.0,8.4,39220.0,4.5,29740.0,2011,1764.9,2211.9491700000003,311.64,3459.204,4335.4203732000005,610.8144
8775,454000,Nonstore Retailers,15-0000,Computer and Mathematical Occupations,17170.0,3.6,76950.0,5.0,74420.0,2011,3847.5,4822.07175,618.12,7541.099999999999,9451.26063,1211.5152
9000,481000,Air Transportation,15-0000,Computer and Mathematical Occupations,5810.0,17.7,76420.0,1.9,75770.0,2011,1451.98,1819.766534,1028.37,2845.8808,3566.74240664,2015.6051999999997
9153,482000,Rail Transportation,15-0000,Computer and Mathematical Occupations,2140.0,30.9,87730.0,2.1,88650.0,2011,1842.33,2308.992189,661.26,3610.9667999999997,4525.62469044,1296.0696
9314,483000,Water Transportation,15-0000,Computer and Mathematical Occupations,490.0,8.4,76180.0,3.2,74350.0,2011,2437.76,3055.244608,41.16,4778.0096,5988.27943168,80.6736
9430,484000,Truck Transportation,15-0000,Computer and Mathematical Occupations,2690.0,7.5,62580.0,1.6,58970.0,2011,1001.28,1254.904224,201.75,1962.5087999999998,2459.61227904,395.43
9582,485000,Transit and Ground Passenger Transportation,15-0000,Computer and Mathematical Occupations,260.0,6.9,59450.0,3.9,56560.0,2011,2318.55,2905.838715,17.94,4544.358,5695.4438814,35.162400000000005
9701,486000,Pipeline Transportation,15-0000,Computer and Mathematical Occupations,1110.0,14.9,78110.0,2.1,77240.0,2011,1640.31,2055.800523,165.39,3215.0076,4029.3690250799996,324.16439999999994
9804,487000,Scenic and Sightseeing Transportation,15-0000,Computer and Mathematical Occupations,40.0,30.6,70300.0,12.8,68090.0,2011,8998.4,11277.694720000001,12.24,17636.863999999998,22104.281651200003,23.9904
9924,488000,Support Activities for Transportation,15-0000,Computer and Mathematical Occupations,4180.0,4.9,68620.0,1.7,65680.0,2011,1166.54,1462.0245820000002,204.82,2286.4184,2865.5681807200003,401.44719999999995
10159,491000,Postal Service,15-0000,Computer and Mathematical Occupations,2180.0,0.0,79810.0,0.8,77020.0,2011,638.48,800.206984,0.0,1251.4208,1568.40568864,0.0
10270,492000,Couriers and Messengers,15-0000,Computer and Mathematical Occupations,2820.0,7.3,66620.0,1.9,61630.0,2011,1265.78,1586.402074,205.86,2480.9287999999997,3109.34806504,403.48560000000003
10386,493000,Warehousing and Storage,15-0000,Computer and Mathematical Occupations,4250.0,9.6,64390.0,1.5,61010.0,2011,965.85,1210.4998050000002,408.0,1893.066,2372.5796178,799.68
