Market,AREA,A_MEAN,A_MEAN_ME,A_MEAN_SE,A_MEDIAN,A_MEDIAN_ME,A_MEDIAN_SE,EMP_PRSE,JOBS_1000,JOBS_1000_ME,JOBS_1000_SE,MEAN_PRSE,OCC_CODE,OCC_TITLE,PRIM_STATE,TOT_EMP,TOT_EMP_ME,TOT_EMP_SE,YEAR
"Anchorage, AK",11260,66690.0,2875.6728000000003,1467.18,65110.0,3604.08072024,1838.816694,4.1,16.747572815533978,1.3458349514563104,0.6866504854368931,2.2,15-0000,Computer and mathematical science occupations,AK,2760.0,221.79359999999997,113.15999999999998,2008
"Fairbanks, AK",21820,64710.0,5834.2536,2976.66,63340.0,7312.07003688,3730.647978,4.5,13.691128148959473,1.2075575027382257,0.6161007667031764,4.6,15-0000,Computer and mathematical science occupations,AK,500.0,44.1,22.5,2008
"Anniston-Oxford, AL",11500,68260.0,5485.3736,2798.66,72470.0,6874.81873288,3507.560578,31.1,8.784773060029282,5.354846266471449,2.7320644216691066,4.1,15-0000,Computer and mathematical science occupations,AL,420.0,256.0152,130.62,2008
"Auburn-Opelika, AL",12220,55160.0,5946.2480000000005,3033.8,53380.0,7452.432618400001,3802.2615400000004,16.7,11.877943886954741,3.8878885930780256,1.9836166291214417,5.5,15-0000,Computer and mathematical science occupations,AL,580.0,189.8456,96.86,2008
"Birmingham-Hoover, AL",13820,65080.0,1403.1248,715.88,63890.0,1758.5363118400003,897.2124040000001,5.9,19.51963547901301,2.257250646793065,1.1516584932617677,1.1,15-0000,Computer and mathematical science occupations,AL,10110.0,1169.1204,596.49,2008
"Decatur, AL",19460,55040.0,3883.6224,1981.44,52500.0,4867.34395392,2483.338752,8.0,4.6057479734708915,0.7221812822402358,0.36845983787767134,3.6,15-0000,Computer and mathematical science occupations,AL,250.0,39.2,20.0,2008
"Dothan, AL",20020,50720.0,2584.6912,1318.72,48420.0,3239.3934809600005,1652.7517760000003,5.3,5.190890823844608,0.5392297387809778,0.2751172136637642,2.6,15-0000,Computer and mathematical science occupations,AL,310.0,32.202799999999996,16.43,2008
"Florence-Muscle Shoals, AL",22520,45510.0,2229.99,1137.75,43670.0,2794.8464670000003,1425.9420750000002,11.7,4.935834155972359,1.1318854886475813,0.577492596248766,2.5,15-0000,Computer and mathematical science occupations,AL,250.0,57.33,29.25,2008
"Gadsden, AL",23460,56010.0,6916.1148,3528.63,54820.0,8667.966678839999,4422.431979,34.1,2.774694783573807,1.8544950055493898,0.9461709211986683,6.3,15-0000,Computer and mathematical science occupations,AL,100.0,66.836,34.1,2008
"Huntsville, AL",26620,76980.0,2112.3312,1077.72,76810.0,2647.38469296,1350.706476,8.6,60.19796326258685,10.146968687541639,5.177024840582469,1.4,15-0000,Computer and mathematical science occupations,AL,12650.0,2132.284,1087.9,2008
