,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,JOBS_1000_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,JOBS_1000_ME,TOT_EMP_ME
57,AK,11260,"Anchorage, AK",15-0000,Computer and Mathematical Occupations,3360.0,5.2,19.153,73230.0,2.0,71040.0,2013,1464.6,1835.58318,0.995956,174.72,2870.616,3597.7430328,1.9520737599999998,342.4512
485,AK,21820,"Fairbanks, AK",15-0000,Computer and Mathematical Occupations,640.0,4.7,17.922,73290.0,1.7,72460.0,2013,1245.93,1561.524069,0.842334,30.08,2442.0228,3060.58717524,1.65097464,58.956799999999994
691,AL,11500,"Anniston-Oxford, AL",15-0000,Computer and Mathematical Occupations,360.0,8.2,8.317,69790.0,7.3,63280.0,2013,5094.67,6385.1499109999995,0.681994,29.519999999999996,9985.5532,12514.893825559999,1.3367082399999999,57.859199999999994
915,AL,12220,"Auburn-Opelika, AL",15-0000,Computer and Mathematical Occupations,600.0,4.9,11.843,59770.0,2.6,58970.0,2013,1554.02,1947.653266,0.580307,29.4,3045.8792,3817.40040136,1.13740172,57.623999999999995
1178,AL,13820,"Birmingham-Hoover, AL",15-0000,Computer and Mathematical Occupations,13280.0,7.6,27.062,72040.0,1.3,70850.0,2013,936.52,1173.740516,2.056712,1009.28,1835.5792,2300.53141136,4.03115552,1978.1888
1718,AL,19460,"Decatur, AL",15-0000,Computer and Mathematical Occupations,380.0,18.1,7.185,65860.0,4.6,59450.0,2013,3029.56,3796.9475480000006,1.300485,68.78000000000002,5937.9376,7442.017194080001,2.5489506,134.80880000000002
1973,AL,20020,"Dothan, AL",15-0000,Computer and Mathematical Occupations,320.0,9.4,5.841,59300.0,2.4,57920.0,2013,1423.2,1783.69656,0.549054,30.08,2789.472,3496.0452576000002,1.0761458400000001,58.956799999999994
2225,AL,22520,"Florence-Muscle Shoals, AL",15-0000,Computer and Mathematical Occupations,280.0,18.5,5.421,61460.0,3.0,56920.0,2013,1843.8,2310.8345400000003,1.002885,51.8,3613.848,4529.235698400001,1.9656546,101.52799999999999
2457,AL,23460,"Gadsden, AL",15-0000,Computer and Mathematical Occupations,90.0,25.6,2.482,50640.0,4.6,50690.0,2013,2329.4399999999996,2919.4871519999997,0.6353920000000001,23.04,4565.702399999999,5722.194817919999,1.24536832,45.1584
2666,AL,26620,"Huntsville, AL",15-0000,Computer and Mathematical Occupations,13750.0,6.6,65.459,86470.0,1.4,85660.0,2013,1210.58,1517.219914,4.3202940000000005,907.5,2372.7367999999997,2973.75103144,8.467776240000001,1778.7
3104,AL,33660,"Mobile, AL",15-0000,Computer and Mathematical Occupations,3130.0,8.3,18.638,54320.0,3.0,50200.0,2013,1629.6,2042.37768,1.5469540000000004,259.79,3194.0159999999996,4003.0602528,3.0320298400000008,509.18840000000006
3534,AL,33860,"Montgomery, AL",15-0000,Computer and Mathematical Occupations,4170.0,3.6,26.177,69430.0,2.7,67820.0,2013,1874.61,2349.448713,0.942372,150.12,3674.2355999999995,4604.919477480001,1.8470491199999999,294.2352
3970,AL,46220,"Tuscaloosa, AL",15-0000,Computer and Mathematical Occupations,970.0,17.2,10.546,63900.0,3.2,60620.0,2013,2044.8,2562.74784,1.8139119999999997,166.84,4007.808,5022.9857664,3.5552675199999992,327.0064
4325,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-0000,Computer and Mathematical Occupations,6760.0,2.9,32.504,70580.0,2.9,69710.0,2013,2046.82,2565.2795060000003,0.9426159999999999,196.04,4011.7672,5027.947831760001,1.8475273599999997,384.23839999999996
4765,AR,22900,"Fort Smith, AR-OK",15-0000,Computer and Mathematical Occupations,1010.0,12.1,8.98,61510.0,1.8,60650.0,2013,1107.18,1387.628694,1.08658,122.21,2170.0728,2719.75224024,2.1296968,239.5316
5122,AR,26300,"Hot Springs, AR",15-0000,Computer and Mathematical Occupations,310.0,18.2,9.009,49580.0,3.2,43790.0,2013,1586.56,1988.4356480000001,1.639638,56.42,3109.6576,3897.33387008,3.21369048,110.5832
5330,AR,27860,"Jonesboro, AR",15-0000,Computer and Mathematical Occupations,370.0,12.0,7.267,74000.0,26.7,45510.0,2013,19758.0,24762.7014,0.87204,44.4,38725.68,48534.894744000005,1.7091984,87.024
5621,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-0000,Computer and Mathematical Occupations,9710.0,10.9,29.009,61970.0,1.4,60010.0,2013,867.58,1087.3380140000002,3.161981,1058.39,1700.4568000000002,2131.1825074400003,6.19748276,2074.4444000000003
6159,AR,38220,"Pine Bluff, AR",15-0000,Computer and Mathematical Occupations,360.0,5.9,10.71,60900.0,4.8,59340.0,2013,2923.2,3663.64656,0.6318900000000001,21.24,5729.472,7180.7472576,1.2385044,41.630399999999995
6351,AZ,22380,"Flagstaff, AZ",15-0000,Computer and Mathematical Occupations,710.0,7.4,12.549,62130.0,2.9,57830.0,2013,1801.77,2258.1583410000003,0.928626,52.54,3531.4692,4425.99034836,1.82010696,102.9784
6614,AZ,29420,"Lake Havasu City - Kingman, AZ",15-0000,Computer and Mathematical Occupations,450.0,19.9,10.211,66410.0,5.5,60720.0,2013,3652.55,4577.740915,2.031989,89.55,7158.9980000000005,8972.3721934,3.9826984399999996,175.518
6891,AZ,38060,"Phoenix-Mesa-Glendale, AZ",15-0000,Computer and Mathematical Occupations,59860.0,3.6,33.605,78170.0,1.5,75740.0,2013,1172.55,1469.5569150000001,1.2097799999999999,2154.96,2298.198,2880.3315534000003,2.3711687999999995,4223.7216
7579,AZ,39140,"Prescott, AZ",15-0000,Computer and Mathematical Occupations,470.0,10.8,8.629,60230.0,3.5,57550.0,2013,2108.05,2642.0190650000004,0.9319320000000001,50.76,4131.778,5178.357367400001,1.82658672,99.4896
7878,AZ,46060,"Tucson, AZ",15-0000,Computer and Mathematical Occupations,10140.0,27.3,28.836,71800.0,5.7,69270.0,2013,4092.6,5129.25558,7.872228,2768.22,8021.496,10053.3409368,15.42956688,5425.7112
