Occupation,OCC_CODE,OCC_GROUP,A_MEDIAN
Computer Systems Analysts,15-1121,detailed,80520.0
Information Security Analysts,15-1122,detailed,94680.0
Computer Programmers,15-1131,detailed,84930.0
"Software Developers, Systems Software",15-1133,detailed,120980.0
Web Developers,15-1134,detailed,46930.0
Database Administrators,15-1141,detailed,78610.0
Network and Computer Systems Administrators,15-1142,detailed,79030.0
Computer Network Architects,15-1143,detailed,105990.0
Computer User Support Specialists,15-1151,detailed,56900.0
Computer Network Support Specialists,15-1152,detailed,52300.0
"Computer Occupations, All Other",15-1199,detailed,94330.0
Operations Research Analysts,15-2031,detailed,74460.0
Computer Systems Analysts,15-1121,detailed,78360.0
Computer Programmers,15-1131,detailed,72900.0
"Software Developers, Applications",15-1132,detailed,87180.0
Network and Computer Systems Administrators,15-1142,detailed,79400.0
Computer User Support Specialists,15-1151,detailed,62920.0
"Computer Occupations, All Other",15-1199,detailed,82970.0
Network and Computer Systems Administrators,15-1142,detailed,59330.0
Computer User Support Specialists,15-1151,detailed,30320.0
Computer Systems Analysts,15-1121,detailed,61880.0
Computer Programmers,15-1131,detailed,54500.0
"Software Developers, Applications",15-1132,detailed,94460.0
"Software Developers, Systems Software",15-1133,detailed,84090.0
Network and Computer Systems Administrators,15-1142,detailed,74100.0
Computer User Support Specialists,15-1151,detailed,56200.0
Computer Network Support Specialists,15-1152,detailed,63040.0
Computer Systems Analysts,15-1121,detailed,74840.0
Information Security Analysts,15-1122,detailed,91830.0
Computer Programmers,15-1131,detailed,81990.0
"Software Developers, Applications",15-1132,detailed,84080.0
"Software Developers, Systems Software",15-1133,detailed,94610.0
Web Developers,15-1134,detailed,67150.0
Database Administrators,15-1141,detailed,90910.0
Network and Computer Systems Administrators,15-1142,detailed,79520.0
Computer Network Architects,15-1143,detailed,105700.0
Computer User Support Specialists,15-1151,detailed,47150.0
Computer Network Support Specialists,15-1152,detailed,69110.0
"Computer Occupations, All Other",15-1199,detailed,81800.0
Actuaries,15-2011,detailed,77860.0
Operations Research Analysts,15-2031,detailed,75230.0
Statisticians,15-2041,detailed,68940.0
Computer Programmers,15-1131,detailed,55910.0
Web Developers,15-1134,detailed,49840.0
Network and Computer Systems Administrators,15-1142,detailed,68970.0
Computer User Support Specialists,15-1151,detailed,42430.0
Computer Systems Analysts,15-1121,detailed,88280.0
Computer Programmers,15-1131,detailed,87840.0
Network and Computer Systems Administrators,15-1142,detailed,67430.0
Computer User Support Specialists,15-1151,detailed,45860.0
Computer Programmers,15-1131,detailed,69530.0
Network and Computer Systems Administrators,15-1142,detailed,57470.0
Computer User Support Specialists,15-1151,detailed,42330.0
Computer Programmers,15-1131,detailed,61760.0
Network and Computer Systems Administrators,15-1142,detailed,57260.0
Computer User Support Specialists,15-1151,detailed,46330.0
Computer and Information Research Scientists,15-1111,detailed,124170.0
Computer Systems Analysts,15-1121,detailed,89470.0
Information Security Analysts,15-1122,detailed,84580.0
Computer Programmers,15-1131,detailed,102460.0
"Software Developers, Applications",15-1132,detailed,99570.0
"Software Developers, Systems Software",15-1133,detailed,106200.0
Web Developers,15-1134,detailed,61290.0
Database Administrators,15-1141,detailed,91340.0
Network and Computer Systems Administrators,15-1142,detailed,72620.0
Computer Network Architects,15-1143,detailed,96560.0
Computer User Support Specialists,15-1151,detailed,44360.0
Computer Network Support Specialists,15-1152,detailed,63010.0
"Computer Occupations, All Other",15-1199,detailed,93340.0
Operations Research Analysts,15-2031,detailed,97350.0
Computer Systems Analysts,15-1121,detailed,62360.0
Computer Programmers,15-1131,detailed,64510.0
"Software Developers, Applications",15-1132,detailed,63140.0
"Software Developers, Systems Software",15-1133,detailed,71860.0
Web Developers,15-1134,detailed,50250.0
Database Administrators,15-1141,detailed,70730.0
Network and Computer Systems Administrators,15-1142,detailed,63560.0
Computer User Support Specialists,15-1151,detailed,45570.0
Computer Network Support Specialists,15-1152,detailed,53410.0
Computer Systems Analysts,15-1121,detailed,82160.0
Information Security Analysts,15-1122,detailed,95180.0
Computer Programmers,15-1131,detailed,79330.0
"Software Developers, Applications",15-1132,detailed,88550.0
"Software Developers, Systems Software",15-1133,detailed,89700.0
Web Developers,15-1134,detailed,64270.0
